Year,Month,Attendance,FirstServ
2002,1,759.25,
2002,2,709.5,
2002,3,699,
2002,4,762.5,
2002,5,757.5,
2002,6,696.6,
2002,7,666.25,
2002,8,651.6,
2002,9,776.75,
2002,10,735.25,
2002,11,755.4,
2002,12,756,
2003,1,777.5,
2003,2,636.3333333,
2003,3,499.8,
2003,4,760.5,
2003,5,619.6,
2003,6,600.25,
2003,7,566.75,
2003,8,576.8,
2003,9,654,
2003,10,711,
2003,11,703,
2003,12,630.75,
2004,1,486.6,
2004,2,520,
2004,3,569.5,
2004,4,507.75,
2004,5,494.4,
2004,6,545.5,
2004,7,439.2,
2004,8,459.5,
2004,9,619.25,
2004,10,397,
2004,11,638.25,
2004,12,659,
2005,1,522.2,
2005,2,559.5,
2005,3,469.5,
2005,4,549.4,
2005,5,603.5,
2005,6,526,
2005,7,435.6,
2005,8,421,
2005,9,,
2005,10,524,
2005,11,576,
2005,12,649.8,
2006,1,598.75,
2006,2,465,
2006,3,467.75,
2006,4,465,
2006,5,497.5,
2006,6,556,
2006,7,452.75,
2006,8,451.25,
2006,9,532.4,
2006,10,550.25,
2006,11,580.25,
2006,12,564,
2007,1,560.75,
2007,2,435.5,
2007,3,453.4,
2007,4,447,
2007,5,432.5,
2007,6,468.2,
2007,7,444.75,
2007,8,523.75,
2007,9,597,
2007,10,531.25,
2007,11,507,
2007,12,510.2,
2008,1,644.25,
2008,2,540,
2008,3,479.8,
2008,4,518.25,
2008,5,638.8,
2008,6,476.25,
2008,7,509.75,
2008,8,559.2,
2008,9,557.25,
2008,10,498.25,
2008,11,575,
2008,12,660.5,
2009,1,553.6,
2009,2,528.25,
2009,3,490.75,
2009,4,542,
2009,5,615.2,
2009,6,542.5,
2009,7,540.75,
2009,8,607.4,
2009,9,595.75,
2009,10,558.4,
2009,11,731.5,
2009,12,674.75,
2010,1,567.4,117.2
2010,2,483.25,96
2010,3,545,122.25
2010,4,532.25,222.75
2010,5,667,158
2010,6,521.5,122
2010,7,510.4,101.4
2010,8,585,139.25
2010,9,637,157.5
2010,10,579.4,137
2010,11,683.5,207.75
2010,12,625.25,135.5
2011,1,562.4,138.6
2011,2,542,134.5
2011,3,633.25,140
2011,4,530.6,139.2
2011,5,648.5,132
2011,6,527.5,134.5
2011,7,613,142.75
2011,8,544.5,131.25
2011,9,563.5,141
2011,10,503.2,139.2
2011,11,605.25,156.25
2011,12,373.4,145.6
2012,1,607,146.6666667
2012,2,597,172.75
2012,3,612,224.75
2012,4,497.5,123
2012,5,547.25,142.25
2012,6,561.6,129.4
2012,7,532,127.75
2012,8,494.75,136.5
2012,9,571.4,153.2
2012,10,524.75,143.25
2012,11,664,167
2012,12,567,137.8
2013,1,523.5,138.75
2013,2,508.25,141.25
2013,3,583.2,144
2013,4,594.75,183.75
2013,5,600.5,137.5
2013,6,606.6,142.6
2013,7,471.5,126.25
2013,8,547,149.8
2013,9,528.25,164
2013,10,553.75,129.5
2013,11,616.8,144.2
2013,12,523.25,140.25
2014,1,453,136.25
2014,2,517.5,152.5
2014,3,504.4,156.4
2014,4,579,152.75
2014,5,636,174.5
2014,6,447.5,168
2014,7,428,137.5
2014,8,518,176.6
2014,9,469.75,175
2014,10,456,159.75